Year,Num_foreign_tourists
2000,2140.1
2001,2330.8
2002,2628.2
2003,2429.6
2004,2927.876
2005,3467.787
2006,3863.486
2007,4171.864
2008,4230.23
2009,3776.7
2010,5034.7
2011,5921.925
2012,6744.158
2013,7581.564
2014,7887
2015,7898.8
2016,10012.7
2017,12922.5
2018,15497.79
2019,18008.6
2020,3686.78
2021,3.5
2022,3661.2
2023,12602.4
2024,1583.661
