Year,num_int_students
2000,2022
2001,2830
2002,2722
2003,3168
2004,3670
2005,4897
2006,6036
2007,8769
2008,12823
2009,13112
2010,14888
2011,18872
2012,16098
2013,16873
2014,18722
2015,21403
2016,22438
2017,24328
2018,24392
2019,23777
2020,21631
2021,20713
2022,21900
2023,22066
2024,22200
